ticker,date,open,high,low,close
CKPT,2016-12-19,50.0,50.0,50.0,50.0
CKPT,2016-12-20,80.0,80.0,80.0,80.0
CKPT,2016-12-21,80.0,80.0,80.0,80.0
CKPT,2016-12-22,80.0,80.0,80.0,80.0
CKPT,2016-12-23,80.0,80.0,80.0,80.0
CKPT,2016-12-27,80.0,80.0,80.0,80.0
CKPT,2016-12-28,80.0,80.0,80.0,80.0
CKPT,2016-12-29,80.0,80.0,80.0,80.0
CKPT,2016-12-30,80.0,80.0,80.0,80.0
CKPT,2017-01-03,80.0,80.0,80.0,80.0
CKPT,2017-01-04,135.0,135.0,135.0,135.0
CKPT,2017-01-05,135.0,135.0,135.0,135.0
CKPT,2017-01-06,135.0,135.0,135.0,135.0
CKPT,2017-01-09,135.0,135.0,135.0,135.0
CKPT,2017-01-10,135.0,135.0,135.0,135.0
CKPT,2017-01-11,150.0,150.0,150.0,150.0
CKPT,2017-01-12,150.0,150.0,150.0,150.0
CKPT,2017-01-13,140.0,140.0,140.0,140.0
CKPT,2017-01-17,140.0,140.0,140.0,140.0
CKPT,2017-01-18,140.0,140.0,140.0,140.0
CKPT,2017-01-19,95.0,95.0,95.0,95.0
CKPT,2017-01-20,110.0,110.0,110.0,110.0
CKPT,2017-01-23,110.0,110.0,110.0,110.0
CKPT,2017-01-24,110.0,110.0,110.0,110.0
CKPT,2017-01-25,110.0,110.0,110.0,110.0
CKPT,2017-01-26,110.0,110.0,110.0,110.0
CKPT,2017-01-27,112.5,112.5,112.5,112.5
CKPT,2017-01-30,110.0,110.0,110.0,110.0
CKPT,2017-01-31,107.5,107.5,107.5,107.5
CKPT,2017-02-01,80.0,80.0,80.0,80.0
CKPT,2017-02-02,90.0,90.0,90.0,90.0
CKPT,2017-02-03,90.0,90.0,90.0,90.0
CKPT,2017-02-06,100.0,100.0,100.0,100.0
CKPT,2017-02-07,100.0,100.0,100.0,100.0
CKPT,2017-02-08,90.0,90.0,90.0,90.0
CKPT,2017-02-09,90.0,90.0,90.0,90.0
CKPT,2017-02-10,90.0,90.0,90.0,90.0
CKPT,2017-02-13,90.0,90.0,90.0,90.0
CKPT,2017-02-14,90.0,90.0,90.0,90.0
CKPT,2017-02-15,90.0,90.0,90.0,90.0
CKPT,2017-02-16,90.0,90.0,90.0,90.0
CKPT,2017-02-17,105.0,105.0,105.0,105.0
CKPT,2017-02-21,105.0,105.0,105.0,105.0
CKPT,2017-02-22,105.0,105.0,105.0,105.0
CKPT,2017-02-23,105.0,105.0,105.0,105.0
CKPT,2017-02-24,105.0,105.0,105.0,105.0
CKPT,2017-02-27,105.0,105.0,105.0,105.0
CKPT,2017-02-28,150.0,150.0,150.0,150.0
CKPT,2017-03-01,130.001,130.001,130.001,130.001
CKPT,2017-03-02,130.0,130.0,130.0,130.0
CKPT,2017-03-03,130.0,130.0,130.0,130.0
CKPT,2017-03-06,130.0,130.0,130.0,130.0
CKPT,2017-03-07,130.0,130.0,130.0,130.0
CKPT,2017-03-08,130.0,130.0,130.0,130.0
CKPT,2017-03-09,132.5,132.5,132.5,132.5
CKPT,2017-03-10,130.0,130.0,130.0,130.0
CKPT,2017-03-13,130.0,130.0,130.0,130.0
CKPT,2017-03-14,130.0,130.0,130.0,130.0
CKPT,2017-03-15,130.0,130.0,130.0,130.0
CKPT,2017-03-16,130.0,130.0,130.0,130.0
CKPT,2017-03-17,130.0,130.0,130.0,130.0
CKPT,2017-03-20,130.0,130.0,130.0,130.0
CKPT,2017-03-21,130.0,130.0,130.0,130.0
CKPT,2017-03-22,127.5,127.5,127.5,127.5
CKPT,2017-03-23,127.5,127.5,127.5,127.5
CKPT,2017-03-24,127.5,127.5,127.5,127.5
CKPT,2017-03-27,127.5,127.5,127.5,127.5
CKPT,2017-03-28,127.5,127.5,127.5,127.5
CKPT,2017-03-29,127.5,127.5,127.5,127.5
CKPT,2017-03-30,125.0,125.0,125.0,125.0
CKPT,2017-03-31,125.0,125.0,125.0,125.0
CKPT,2017-04-03,125.0,125.0,125.0,125.0
CKPT,2017-04-04,125.0,125.0,125.0,125.0
CKPT,2017-04-05,125.0,125.0,125.0,125.0
CKPT,2017-04-06,125.0,125.0,125.0,125.0
CKPT,2017-04-07,125.0,125.0,125.0,125.0
CKPT,2017-04-10,125.0,125.0,125.0,125.0
CKPT,2017-04-11,125.0,125.0,125.0,125.0
CKPT,2017-04-12,125.0,125.0,125.0,125.0
CKPT,2017-04-13,125.0,125.0,125.0,125.0
CKPT,2017-04-17,125.0,125.0,125.0,125.0
CKPT,2017-04-18,125.0,125.0,125.0,125.0
CKPT,2017-04-19,125.0,125.0,125.0,125.0
CKPT,2017-04-20,125.0,125.0,125.0,125.0
CKPT,2017-04-21,125.0,125.0,125.0,125.0
CKPT,2017-04-24,125.0,125.0,125.0,125.0
CKPT,2017-04-25,125.0,125.0,125.0,125.0
CKPT,2017-04-26,125.0,125.0,125.0,125.0
CKPT,2017-04-27,125.0,125.0,125.0,125.0
CKPT,2017-04-28,125.0,125.0,125.0,125.0
CKPT,2017-05-01,125.0,125.0,125.0,125.0
CKPT,2017-05-02,125.0,125.0,125.0,125.0
CKPT,2017-05-03,125.0,125.0,125.0,125.0
CKPT,2017-05-04,125.0,125.0,125.0,125.0
CKPT,2017-05-05,130.0,130.0,130.0,130.0
CKPT,2017-05-08,130.0,130.0,130.0,130.0
CKPT,2017-05-09,120.0,120.0,120.0,120.0
CKPT,2017-05-10,113.5,113.5,113.5,113.5
CKPT,2017-05-11,110.0,110.0,110.0,110.0
CKPT,2017-05-12,110.0,110.0,110.0,110.0
CKPT,2017-05-15,107.5,107.5,107.5,107.5
CKPT,2017-05-16,107.5,107.5,107.5,107.5
CKPT,2017-05-17,107.5,107.5,107.5,107.5
CKPT,2017-05-18,107.5,107.5,107.5,107.5
