ticker,date,open,high,low,close
SCNX,2024-09-24,7.15,7.539,7.15,7.539
SCNX,2024-09-25,7.6411,7.6411,7.13,7.48
SCNX,2024-09-26,7.3,7.5,7.06,7.06
SCNX,2024-09-27,6.8992,7.46,6.8992,7.46
SCNX,2024-09-30,7.26,7.6,6.9569,7.35
SCNX,2024-10-01,7.27,7.29,6.96,7.29
SCNX,2024-10-02,7.35,7.3581,7.02,7.31
SCNX,2024-10-03,7.01,7.36,7.01,7.04
SCNX,2024-10-04,7.29,7.34,7.0001,7.03
SCNX,2024-10-07,7.06,7.1397,6.99,6.99
SCNX,2024-10-08,7.11,7.24,6.91,7.24
SCNX,2024-10-09,7.25,7.25,6.9501,7.1241
SCNX,2024-10-10,7.0,7.03,6.95,6.97
SCNX,2024-10-11,7.4199,7.4199,7.0201,7.24
SCNX,2024-10-14,7.08,7.24,7.032,7.085
SCNX,2024-10-15,6.9501,6.9699,6.92,6.92
SCNX,2024-10-16,7.03,7.03,6.9301,7.0
SCNX,2024-10-17,6.9936,6.9936,6.87,6.9
SCNX,2024-10-18,6.74,6.74,6.5501,6.74
SCNX,2024-10-21,6.63,6.95,6.5849,6.7
SCNX,2024-10-22,6.6,7.19,6.6,7.19
SCNX,2024-10-23,7.08,7.185,7.0336,7.13
SCNX,2024-10-24,7.1923,7.35,7.1245,7.35
SCNX,2024-10-25,7.25,7.4,7.1,7.4
SCNX,2024-10-28,7.22,8.41,7.22,8.2
SCNX,2024-10-29,8.35,9.55,8.15,9.0192
SCNX,2024-10-30,8.61,8.61,7.89,7.9795
SCNX,2024-10-31,8.49,8.72,7.26,7.65
SCNX,2024-11-01,7.26,8.27,7.2,7.2104
SCNX,2024-11-04,7.365,8.75,7.365,8.115
SCNX,2024-11-05,8.0,8.81,7.78,7.83
SCNX,2024-11-06,7.73,8.35,7.73,8.06
SCNX,2024-11-07,8.2,8.44,8.06,8.13
SCNX,2024-11-08,8.17,8.255,7.8692,7.94
SCNX,2024-11-11,7.94,8.45,7.9,8.11
SCNX,2024-11-12,7.81,8.39,7.81,8.39
SCNX,2024-11-13,8.3,8.3,7.9943,8.14
SCNX,2024-11-14,7.97,7.97,7.97,7.97
SCNX,2024-11-15,7.62,8.0699,7.62,8.0
SCNX,2024-11-18,8.4,8.4,7.698,8.36
SCNX,2024-11-19,8.18,8.3089,8.06,8.06
SCNX,2024-11-20,7.78,8.38,7.78,8.38
SCNX,2024-11-21,8.37,8.37,7.8,8.1
SCNX,2024-11-22,8.09,8.41,7.53,7.54
SCNX,2024-11-25,7.5,7.93,7.5,7.64
SCNX,2024-11-26,7.52,7.62,7.1,7.23
SCNX,2024-11-27,7.46,7.82,7.46,7.81
SCNX,2024-11-29,7.5,7.6,7.34,7.35
SCNX,2024-12-02,7.63,8.07,7.5029,7.715
SCNX,2024-12-03,8.15,8.72,7.3,7.4
SCNX,2024-12-04,7.41,7.99,7.3501,7.43
SCNX,2024-12-05,7.22,7.8645,7.18,7.29
SCNX,2024-12-06,7.011,7.34,6.585,6.67
SCNX,2024-12-09,6.67,7.41,6.6112,7.41
