ticker,date,open,high,low,close
AVBP,2024-01-26,24.0,25.95,20.0,20.0
AVBP,2024-01-29,20.0,21.475,19.4,19.91
AVBP,2024-01-30,20.89,22.95,19.4,22.0
AVBP,2024-01-31,21.0,22.0,20.1935,21.55
AVBP,2024-02-01,21.41,22.68,21.0,21.98
AVBP,2024-02-02,21.97,22.15,21.33,21.85
AVBP,2024-02-05,21.9,21.98,20.76,21.52
AVBP,2024-02-06,22.0,22.8,21.09,22.0
AVBP,2024-02-07,22.0,22.74,21.05,22.16
AVBP,2024-02-08,22.11,23.1266,21.78,22.0
AVBP,2024-02-09,21.84,22.39,21.0,21.01
AVBP,2024-02-12,21.25,21.94,20.68,21.03
AVBP,2024-02-13,21.0,22.05,20.0,21.9
AVBP,2024-02-14,21.65,22.2,21.16,21.48
AVBP,2024-02-15,21.46,22.15,21.2,22.07
AVBP,2024-02-16,21.73,22.51,21.25,22.47
AVBP,2024-02-20,22.47,22.75,20.31,20.63
AVBP,2024-02-21,20.52,21.44,19.66,19.88
AVBP,2024-02-22,19.82,20.135,18.37,19.67
AVBP,2024-02-23,19.5,20.5,19.18,19.32
AVBP,2024-02-26,19.35,19.67,18.63,18.94
AVBP,2024-02-27,18.61,20.103,18.61,19.54
AVBP,2024-02-28,19.46,21.015,19.12,20.45
AVBP,2024-02-29,20.34,22.2937,20.34,21.54
AVBP,2024-03-01,21.11,22.2,20.6,20.94
AVBP,2024-03-04,21.36,22.985,20.57,22.75
AVBP,2024-03-05,21.94,22.5,20.43,20.43
AVBP,2024-03-06,20.48,21.43,20.11,20.25
AVBP,2024-03-07,20.07,20.72,19.65,20.1
AVBP,2024-03-08,20.6,20.7,19.61,19.61
AVBP,2024-03-11,19.53,20.3225,19.1,19.33
AVBP,2024-03-12,20.1,20.14,18.75,19.15
AVBP,2024-03-13,19.485,19.825,19.025,19.75
AVBP,2024-03-14,19.75,19.75,17.695,18.57
AVBP,2024-03-15,18.4,20.15,18.275,19.49
AVBP,2024-03-18,19.36,19.775,18.14,18.55
AVBP,2024-03-19,18.44,18.57,17.65,18.13
AVBP,2024-03-20,17.67,18.675,17.67,18.42
AVBP,2024-03-21,18.01,18.505,17.58,18.21
AVBP,2024-03-22,17.89,18.54,17.84,18.28
AVBP,2024-03-25,17.93,18.22,16.9,16.96
AVBP,2024-03-26,17.12,18.04,16.905,17.8
AVBP,2024-03-27,18.0,18.31,17.5,18.0
AVBP,2024-03-28,17.85,18.3,17.73,17.86
AVBP,2024-04-01,17.92,19.11,17.7401,18.31
AVBP,2024-04-02,18.0,18.2,17.92,18.0
AVBP,2024-04-03,17.9,18.2,17.87,18.12
AVBP,2024-04-04,18.0,18.5375,17.85,18.3
AVBP,2024-04-05,18.2,18.98,18.12,18.45
AVBP,2024-04-08,18.21,18.54,17.34,17.49
AVBP,2024-04-09,17.79,17.83,17.15,17.33
AVBP,2024-04-10,16.91,17.66,16.91,17.29
AVBP,2024-04-11,17.1,17.95,17.1,17.67
AVBP,2024-04-12,17.71,17.85,16.67,16.89
AVBP,2024-04-15,16.89,17.35,16.55,17.0
AVBP,2024-04-16,17.25,17.55,16.44,16.8
AVBP,2024-04-17,16.83,16.93,15.5,16.04
AVBP,2024-04-18,15.84,17.04,14.74,15.5
AVBP,2024-04-19,15.42,16.26,15.17,15.45
AVBP,2024-04-22,15.72,16.65,15.6,15.9
AVBP,2024-04-23,15.99,16.29,15.31,15.77
AVBP,2024-04-24,15.64,16.078,14.75,15.3
AVBP,2024-04-25,15.32,15.88,14.35,15.54
AVBP,2024-04-26,15.7,16.48,15.36,15.44
AVBP,2024-04-29,15.78,16.64,15.36,16.34
AVBP,2024-04-30,16.38,16.96,15.6615,16.52
AVBP,2024-05-01,16.49,17.42,15.785,16.69
AVBP,2024-05-02,16.985,17.39,16.54,16.8
AVBP,2024-05-03,16.99,17.51,16.76,17.23
AVBP,2024-05-06,17.23,17.628,16.925,17.24
AVBP,2024-05-07,17.22,17.62,17.02,17.25
AVBP,2024-05-08,16.82,17.85,16.82,17.36
AVBP,2024-05-09,17.36,17.99,17.36,17.99
AVBP,2024-05-10,17.95,18.0,17.39,17.7
AVBP,2024-05-13,17.98,18.51,16.97,17.93
AVBP,2024-05-14,17.93,18.8,17.682,18.46
AVBP,2024-05-15,18.83,19.55,18.74,19.5
AVBP,2024-05-16,19.43,20.74,19.3,20.15
AVBP,2024-05-17,20.85,20.85,19.99,20.1
AVBP,2024-05-20,20.15,20.4,19.2,19.58
AVBP,2024-05-21,19.8,20.34,19.69,19.95
AVBP,2024-05-22,20.22,21.0,19.81,19.89
AVBP,2024-05-23,20.0,20.13,18.75,18.88
AVBP,2024-05-24,18.9,19.24,18.12,19.24
AVBP,2024-05-28,19.51,19.66,18.7,18.97
AVBP,2024-05-29,18.61,19.17,18.44,18.78
AVBP,2024-05-30,19.1,19.86,19.0,19.46
AVBP,2024-05-31,19.5,20.25,19.16,19.41
AVBP,2024-06-03,19.75,19.83,18.4,19.19
AVBP,2024-06-04,19.16,19.58,18.04,18.33
AVBP,2024-06-05,18.65,18.98,18.42,18.67
AVBP,2024-06-06,18.67,19.05,18.17,18.35
AVBP,2024-06-07,18.03,19.31,17.94,18.55
AVBP,2024-06-10,18.21,18.78,17.2075,18.49
AVBP,2024-06-11,18.95,19.86,17.53,18.71
AVBP,2024-06-12,19.19,19.44,18.38,18.66
AVBP,2024-06-13,18.65,18.88,18.2,18.76
AVBP,2024-06-14,18.57,19.045,18.48,18.7
AVBP,2024-06-17,18.75,18.8,18.335,18.51
AVBP,2024-06-18,18.46,19.35,17.23,17.51
AVBP,2024-06-20,17.43,18.8627,15.53,16.6
AVBP,2024-06-21,16.76,18.71,16.76,17.98
AVBP,2024-06-24,18.0,18.07,17.57,17.85
AVBP,2024-06-25,17.77,18.07,17.02,17.46
AVBP,2024-06-26,17.41,17.7,15.8,17.33
AVBP,2024-06-27,16.96,17.978,16.6,17.4
AVBP,2024-06-28,17.41,18.83,16.69,18.55
AVBP,2024-07-01,18.15,19.04,17.655,18.15
AVBP,2024-07-02,18.18,18.44,17.775,18.41
AVBP,2024-07-03,18.2705,18.28,17.29,18.27
AVBP,2024-07-05,18.33,19.28,17.65,18.56
AVBP,2024-07-08,18.6,19.91,17.86,18.66
AVBP,2024-07-09,18.55,18.85,18.08,18.42
AVBP,2024-07-10,18.61,18.75,17.21,17.93
AVBP,2024-07-11,18.2,18.23,17.74,18.23
AVBP,2024-07-12,18.79,19.21,18.0,18.39
AVBP,2024-07-15,18.67,19.65,18.18,19.54
AVBP,2024-07-16,20.08,20.32,19.58,19.74
AVBP,2024-07-17,19.83,19.91,19.14,19.58
AVBP,2024-07-18,18.85,19.58,18.68,19.2
AVBP,2024-07-19,19.24,19.7,18.39,18.88
AVBP,2024-07-22,19.135,19.79,19.135,19.51
AVBP,2024-07-23,19.63,21.04,19.405,20.43
AVBP,2024-07-24,20.33,21.3999,19.612,20.53
AVBP,2024-07-25,20.75,21.44,20.45,21.08
AVBP,2024-07-26,21.54,23.05,21.2775,22.2884
AVBP,2024-07-29,22.46,22.46,21.68,21.68
AVBP,2024-07-30,22.0,22.75,21.73,22.0
AVBP,2024-07-31,21.98,22.0,21.54,21.9
AVBP,2024-08-01,21.81,22.13,21.42,21.6
AVBP,2024-08-02,20.81,22.01,20.6189,21.67
AVBP,2024-08-05,21.46,21.53,20.85,20.98
AVBP,2024-08-06,20.9,21.81,20.81,21.36
AVBP,2024-08-07,21.41,22.0,21.41,21.75
AVBP,2024-08-08,22.18,22.96,21.84,22.85
AVBP,2024-08-09,22.7,23.2699,21.365,21.73
AVBP,2024-08-12,21.43,23.14,21.43,22.4
AVBP,2024-08-13,22.73,23.37,22.07,23.11
AVBP,2024-08-14,23.1,24.09,22.78,23.95
AVBP,2024-08-15,24.06,24.15,23.54,23.86
AVBP,2024-08-16,24.19,24.97,23.4469,24.36
AVBP,2024-08-19,23.99,23.99,23.65,23.99
AVBP,2024-08-20,24.13,24.46,23.8701,24.2
AVBP,2024-08-21,24.2,24.43,23.7,23.92
AVBP,2024-08-22,23.82,23.95,23.61,23.88
AVBP,2024-08-23,23.96,24.72,23.59,24.27
AVBP,2024-08-26,24.68,28.07,24.52,27.33
AVBP,2024-08-27,27.25,28.25,26.74,27.72
AVBP,2024-08-28,28.2,28.65,26.8,27.21
AVBP,2024-08-29,27.355,27.46,26.6,26.78
AVBP,2024-08-30,26.35,27.44,26.35,26.73
AVBP,2024-09-03,26.89,27.055,25.69,26.0
AVBP,2024-09-04,25.6,26.96,25.585,26.12
AVBP,2024-09-05,26.17,26.7,25.195,26.6
AVBP,2024-09-06,26.89,28.24,26.24,28.0
AVBP,2024-09-09,28.54,30.99,27.17,27.73
AVBP,2024-09-10,29.26,29.26,27.16,27.29
AVBP,2024-09-11,27.57,27.74,25.35,25.35
AVBP,2024-09-12,25.69,25.9399,23.76,23.8
AVBP,2024-09-13,23.8,24.32,22.3,23.76
AVBP,2024-09-16,23.97,24.8554,22.75,24.54
AVBP,2024-09-17,24.72,25.155,23.87,23.94
AVBP,2024-09-18,23.22,24.57,23.22,23.58
AVBP,2024-09-19,23.89,25.19,23.665,24.2
AVBP,2024-09-20,24.05,25.46,23.75,24.81
AVBP,2024-09-23,25.04,25.04,22.39,22.64
AVBP,2024-09-24,22.62,24.11,22.56,23.57
AVBP,2024-09-25,23.41,23.71,22.805,23.11
AVBP,2024-09-26,23.3,24.01,23.11,23.51
AVBP,2024-09-27,23.66,24.11,22.585,23.0
AVBP,2024-09-30,23.195,23.5,23.195,23.48
AVBP,2024-10-01,23.19,24.28,23.19,23.8
AVBP,2024-10-02,24.09,24.09,23.41,23.79
AVBP,2024-10-03,23.61,25.765,23.61,25.62
AVBP,2024-10-04,26.175,27.89,26.175,27.26
AVBP,2024-10-07,27.16,28.17,27.09,27.47
AVBP,2024-10-08,27.59,28.48,27.22,27.4
AVBP,2024-10-09,27.2,28.03,26.57,27.07
AVBP,2024-10-10,26.98,28.14,26.52,27.79
AVBP,2024-10-11,27.74,29.045,27.74,28.24
AVBP,2024-10-14,28.14,28.38,27.79,27.94
AVBP,2024-10-15,27.42,28.72,27.42,28.45
AVBP,2024-10-16,28.37,29.81,28.14,29.74
AVBP,2024-10-17,29.73,29.87,28.74,28.99
AVBP,2024-10-18,29.0,29.47,28.81,29.16
AVBP,2024-10-21,29.2,29.2,28.37,28.71
AVBP,2024-10-22,29.0,30.15,28.5,30.05
AVBP,2024-10-23,29.95,30.35,29.46,30.24
AVBP,2024-10-24,30.19,31.87,30.19,31.02
AVBP,2024-10-25,31.34,32.035,31.035,31.68
AVBP,2024-10-28,32.22,32.4,31.6,32.17
AVBP,2024-10-29,31.96,32.185,30.7,31.16
AVBP,2024-10-30,31.02,32.0,31.02,31.47
AVBP,2024-10-31,31.65,31.65,29.17,29.34
AVBP,2024-11-01,28.53,30.78,28.501,30.78
AVBP,2024-11-04,30.92,32.01,30.78,31.49
AVBP,2024-11-05,31.43,32.0,31.07,31.98
AVBP,2024-11-06,33.62,35.97,32.52,34.91
AVBP,2024-11-07,35.0,36.12,34.512,35.63
AVBP,2024-11-08,35.87,36.0,33.165,34.32
AVBP,2024-11-11,34.12,34.92,33.57,34.31
AVBP,2024-11-12,33.94,34.35,32.6833,32.99
AVBP,2024-11-13,33.44,33.64,31.84,31.87
AVBP,2024-11-14,31.67,32.01,27.64,28.08
AVBP,2024-11-15,28.46,28.46,26.77,27.21
AVBP,2024-11-18,27.18,27.61,26.4,27.05
AVBP,2024-11-19,27.04,28.05,26.4,27.42
AVBP,2024-11-20,27.42,28.82,27.23,27.41
AVBP,2024-11-21,27.56,27.81,26.53,26.59
AVBP,2024-11-22,26.6,27.6753,25.99,27.45
AVBP,2024-11-25,27.89,28.325,27.26,27.5
AVBP,2024-11-26,27.445,29.16,27.15,28.74
AVBP,2024-11-27,28.92,29.525,28.2863,29.11
AVBP,2024-11-29,29.3,30.26,29.25,29.96
AVBP,2024-12-02,30.0,30.405,29.25,29.56
AVBP,2024-12-03,29.35,30.17,28.89,29.12
AVBP,2024-12-04,29.12,29.8,28.69,29.25
AVBP,2024-12-05,29.25,29.25,28.335,28.55
AVBP,2024-12-06,28.85,29.86,28.85,29.26
AVBP,2024-12-09,29.35,29.86,28.03,28.03
