ticker,date,open,high,low,close
NBBK,2023-12-29,13.75,13.75,13.45,13.475
NBBK,2024-01-02,13.4,13.71,13.1,13.59
NBBK,2024-01-03,13.54,13.68,13.41,13.55
NBBK,2024-01-04,13.52,13.75,13.39,13.61
NBBK,2024-01-05,13.51,13.63,13.47,13.58
NBBK,2024-01-08,13.63,13.64,13.52,13.59
NBBK,2024-01-09,13.55,13.6,13.5,13.6
NBBK,2024-01-10,13.57,13.88,13.56,13.87
NBBK,2024-01-11,13.75,13.985,13.65,13.94
NBBK,2024-01-12,13.88,14.14,13.88,13.97
NBBK,2024-01-16,13.8,14.03,13.8,13.94
NBBK,2024-01-17,13.9,14.05,13.87,14.01
NBBK,2024-01-18,13.95,14.1,13.94,14.09
NBBK,2024-01-19,14.05,14.4,14.05,14.4
NBBK,2024-01-22,14.41,14.75,14.41,14.58
NBBK,2024-01-23,14.51,14.73,14.51,14.67
NBBK,2024-01-24,14.7,14.85,14.625,14.79
NBBK,2024-01-25,14.82,14.85,14.64,14.73
NBBK,2024-01-26,14.69,14.79,14.64,14.68
NBBK,2024-01-29,14.6,14.79,14.51,14.67
NBBK,2024-01-30,14.64,14.71,14.54,14.66
NBBK,2024-01-31,14.57,14.65,13.96,13.99
NBBK,2024-02-01,13.99,14.2,13.41,14.17
NBBK,2024-02-02,14.17,14.17,13.7,13.75
NBBK,2024-02-05,13.62,13.87,13.5,13.85
NBBK,2024-02-06,13.94,14.09,13.71,14.09
NBBK,2024-02-07,13.91,14.07,13.83,13.92
NBBK,2024-02-08,13.98,14.05,13.95,14.05
NBBK,2024-02-09,14.0,14.03,13.96,14.03
NBBK,2024-02-12,14.05,14.22,14.015,14.2
NBBK,2024-02-13,13.91,13.995,13.79,13.98
NBBK,2024-02-14,14.0,14.11,13.91,14.11
NBBK,2024-02-15,14.15,14.185,14.01,14.03
NBBK,2024-02-16,14.08,14.15,13.92,13.98
NBBK,2024-02-20,14.07,14.26,13.935,14.24
NBBK,2024-02-21,14.25,14.25,13.94,14.03
NBBK,2024-02-22,13.82,13.84,13.51,13.73
NBBK,2024-02-23,13.6,13.92,13.595,13.81
NBBK,2024-02-26,13.82,13.92,13.62,13.74
NBBK,2024-02-27,13.86,13.98,13.82,13.89
NBBK,2024-02-28,13.82,14.0,13.82,13.97
NBBK,2024-02-29,14.0,14.145,13.74,14.0
NBBK,2024-03-01,14.1,14.1,13.82,14.02
NBBK,2024-03-04,14.07,14.1,13.88,14.0
NBBK,2024-03-05,14.0,14.03,13.84,13.93
NBBK,2024-03-06,13.94,14.1,13.89,13.9
NBBK,2024-03-07,14.05,14.2,13.87,13.91
NBBK,2024-03-08,14.0,14.0,13.75,13.76
NBBK,2024-03-11,13.72,14.02,13.72,13.98
NBBK,2024-03-12,14.0,14.05,13.86,13.86
NBBK,2024-03-13,14.02,14.02,13.75,13.94
NBBK,2024-03-14,13.82,14.0,13.73,13.94
NBBK,2024-03-15,13.97,14.1,13.89,13.97
NBBK,2024-03-18,13.77,13.94,13.5,13.64
NBBK,2024-03-19,13.65,13.72,13.5,13.63
NBBK,2024-03-20,13.52,13.67,13.48,13.61
NBBK,2024-03-21,13.56,13.74,13.56,13.69
NBBK,2024-03-22,13.7,13.81,13.59,13.78
NBBK,2024-03-25,13.85,13.92,13.61,13.63
NBBK,2024-03-26,13.64,13.7,13.55,13.58
NBBK,2024-03-27,13.5,13.88,13.43,13.77
NBBK,2024-03-28,13.81,13.88,13.64,13.66
NBBK,2024-04-01,13.65,13.69,13.57,13.6
NBBK,2024-04-02,13.57,13.6,13.39,13.41
NBBK,2024-04-03,13.42,13.53,13.38,13.5
NBBK,2024-04-04,13.65,13.77,13.55,13.55
NBBK,2024-04-05,13.64,13.665,13.46,13.49
NBBK,2024-04-08,13.575,13.705,13.575,13.61
NBBK,2024-04-09,13.7,13.84,13.67,13.75
NBBK,2024-04-10,13.65,13.65,13.34,13.35
NBBK,2024-04-11,13.41,13.47,13.26,13.4
NBBK,2024-04-12,13.3,13.41,13.29,13.32
NBBK,2024-04-15,13.26,13.47,13.26,13.46
NBBK,2024-04-16,13.32,13.58,13.31,13.52
NBBK,2024-04-17,13.57,13.67,13.45,13.48
NBBK,2024-04-18,13.41,13.63,13.3,13.45
NBBK,2024-04-19,13.45,13.67,13.41,13.6
NBBK,2024-04-22,13.71,13.98,13.64,13.89
NBBK,2024-04-23,13.85,14.09,13.85,14.01
NBBK,2024-04-24,13.92,14.19,13.92,14.19
NBBK,2024-04-25,14.19,14.6,14.09,14.59
NBBK,2024-04-26,14.28,14.65,14.28,14.52
NBBK,2024-04-29,14.5,14.68,14.45,14.67
NBBK,2024-04-30,14.58,14.65,14.38,14.62
NBBK,2024-05-01,14.65,14.74,14.52,14.61
NBBK,2024-05-02,14.69,14.69,14.575,14.61
NBBK,2024-05-03,14.64,14.65,14.571,14.62
NBBK,2024-05-06,14.64,14.97,14.6,14.97
NBBK,2024-05-07,14.9,15.21,14.89,14.92
NBBK,2024-05-08,15.04,15.18,14.955,15.17
NBBK,2024-05-09,15.19,15.3,15.16,15.28
NBBK,2024-05-10,15.29,15.55,15.29,15.52
NBBK,2024-05-13,15.54,15.64,15.42,15.42
NBBK,2024-05-14,15.42,15.74,15.27,15.7
NBBK,2024-05-15,15.7,15.82,15.6,15.62
NBBK,2024-05-16,15.68,15.8,15.62,15.73
NBBK,2024-05-17,15.77,15.97,15.77,15.95
NBBK,2024-05-20,15.95,16.05,15.7772,15.89
NBBK,2024-05-21,15.84,15.94,15.65,15.69
NBBK,2024-05-22,15.7,15.82,15.3861,15.48
NBBK,2024-05-23,15.5,15.5,15.052,15.13
NBBK,2024-05-24,15.18,15.53,15.14,15.44
NBBK,2024-05-28,15.44,15.44,15.11,15.14
NBBK,2024-05-29,15.06,15.27,14.855,14.89
NBBK,2024-05-30,14.93,15.1,14.88,15.0
NBBK,2024-05-31,15.07,15.2,15.01,15.12
NBBK,2024-06-03,15.26,15.26,14.92,14.95
NBBK,2024-06-04,14.95,14.96,14.75,14.96
NBBK,2024-06-05,15.04,15.04,14.72,14.86
NBBK,2024-06-06,14.88,15.0,14.83,14.92
NBBK,2024-06-07,14.77,14.96,14.77,14.85
NBBK,2024-06-10,14.72,14.775,14.52,14.59
NBBK,2024-06-11,14.39,14.61,14.39,14.48
NBBK,2024-06-12,14.7,14.87,14.55,14.6
NBBK,2024-06-13,14.62,14.73,14.355,14.58
NBBK,2024-06-14,14.54,14.6,14.44,14.57
NBBK,2024-06-17,14.65,14.755,14.475,14.5
NBBK,2024-06-18,14.39,14.62,14.39,14.5
NBBK,2024-06-20,14.45,14.625,14.31,14.41
NBBK,2024-06-21,14.31,14.71,14.2,14.69
NBBK,2024-06-24,14.66,14.67,14.34,14.56
NBBK,2024-06-25,14.57,14.63,14.33,14.38
NBBK,2024-06-26,14.27,14.6,14.25,14.59
NBBK,2024-06-27,14.6,14.83,14.51,14.76
NBBK,2024-06-28,14.77,15.2,14.68,15.08
NBBK,2024-07-01,15.14,15.22,14.93,15.13
NBBK,2024-07-02,15.05,15.33,14.844,15.22
NBBK,2024-07-03,15.23,15.24,15.1,15.1
NBBK,2024-07-05,15.08,15.23,14.835,14.91
NBBK,2024-07-08,15.07,15.205,14.9,15.05
NBBK,2024-07-09,15.09,15.385,15.08,15.34
NBBK,2024-07-10,15.3,15.39,15.09,15.35
NBBK,2024-07-11,15.41,16.0,15.41,15.97
NBBK,2024-07-12,15.96,16.25,15.91,16.16
NBBK,2024-07-15,16.29,16.62,16.23,16.6
NBBK,2024-07-16,16.72,17.51,16.56,17.51
NBBK,2024-07-17,17.44,17.67,17.3037,17.615
NBBK,2024-07-18,17.63,17.8,17.17,17.21
NBBK,2024-07-19,17.26,17.57,17.205,17.38
NBBK,2024-07-22,17.32,17.91,16.875,17.87
NBBK,2024-07-23,17.75,18.26,17.75,18.13
NBBK,2024-07-24,18.13,18.28,17.77,17.78
NBBK,2024-07-25,18.35,18.5,17.771,18.28
NBBK,2024-07-26,18.51,18.68,18.31,18.645
NBBK,2024-07-29,18.5,18.7,18.3,18.47
NBBK,2024-07-30,18.58,19.2,18.52,19.14
NBBK,2024-07-31,19.27,19.27,19.0,19.11
NBBK,2024-08-01,18.96,19.19,18.23,18.28
NBBK,2024-08-02,17.76,17.96,17.25,17.305
NBBK,2024-08-05,17.0,17.18,16.37,16.95
NBBK,2024-08-06,17.01,17.39,16.66,17.28
NBBK,2024-08-07,17.66,17.73,17.2,17.28
NBBK,2024-08-08,17.5,17.59,17.32,17.5
NBBK,2024-08-09,17.52,17.52,17.0,17.09
NBBK,2024-08-12,17.3,17.44,17.175,17.37
NBBK,2024-08-13,17.44,17.63,17.17,17.61
NBBK,2024-08-14,17.68,17.78,17.35,17.49
NBBK,2024-08-15,17.87,18.175,17.72,17.84
NBBK,2024-08-16,17.85,18.28,17.84,18.02
NBBK,2024-08-19,17.99,18.12,17.95,18.06
NBBK,2024-08-20,17.9,17.9,17.84,17.9
NBBK,2024-08-21,18.06,18.095,16.46,17.88
NBBK,2024-08-22,17.9,18.08,17.79,17.89
NBBK,2024-08-23,18.11,18.81,18.11,18.65
NBBK,2024-08-26,18.74,18.9,18.69,18.79
