ticker,date,open,high,low,close
ARTV,2024-07-22,12.0,12.255,11.71,11.77
ARTV,2024-07-23,13.0,13.2499,11.8,12.01
ARTV,2024-07-24,12.22,12.92,11.75,11.9
ARTV,2024-07-25,12.12,12.1989,11.1175,11.91
ARTV,2024-07-26,11.92,12.02,11.51,12.0
ARTV,2024-07-29,12.03,12.09,11.01,11.89
ARTV,2024-07-30,11.72,11.85,11.41,11.67
ARTV,2024-07-31,11.59,11.89,11.51,11.79
ARTV,2024-08-01,11.8,11.8,11.51,11.59
ARTV,2024-08-02,11.51,11.7,11.25,11.69
ARTV,2024-08-05,11.28,11.51,11.175,11.175
ARTV,2024-08-06,11.03,11.09,10.99,11.09
ARTV,2024-08-07,11.11,11.45,10.8,11.3
ARTV,2024-08-08,11.19,11.205,10.89,11.0
ARTV,2024-08-09,11.0,11.395,10.73,11.3
ARTV,2024-08-12,11.3,11.3,10.5,11.22
ARTV,2024-08-13,11.2,11.27,10.92,11.2
ARTV,2024-08-14,11.09,11.43,10.98,11.43
ARTV,2024-08-15,11.3,11.41,10.98,11.36
ARTV,2024-08-16,11.24,11.7,11.225,11.7
ARTV,2024-08-19,11.48,11.635,10.42,10.42
ARTV,2024-08-20,10.51,10.7157,10.03,10.09
ARTV,2024-08-21,10.13,10.52,10.0,10.07
ARTV,2024-08-22,10.21,10.26,9.89,9.97
ARTV,2024-08-23,10.0,10.0922,9.71,10.0
ARTV,2024-08-26,10.02,11.08,10.02,10.75
ARTV,2024-08-27,10.74,10.78,10.5521,10.68
ARTV,2024-08-28,10.53,10.97,10.53,10.93
ARTV,2024-08-29,11.1,11.5,11.0,11.3
ARTV,2024-08-30,10.86,11.59,10.0,11.54
ARTV,2024-09-03,11.64,11.6699,10.53,11.01
ARTV,2024-09-04,11.275,11.55,10.9159,11.38
ARTV,2024-09-05,11.56,12.07,11.2,11.92
ARTV,2024-09-06,11.71,12.05,11.71,12.02
ARTV,2024-09-09,12.0,12.32,11.5493,11.98
ARTV,2024-09-10,12.1899,12.21,11.72,11.79
ARTV,2024-09-11,11.88,12.155,11.5,11.52
ARTV,2024-09-12,11.765,12.03,10.74,10.75
ARTV,2024-09-13,10.72,11.2,9.92,9.96
ARTV,2024-09-16,10.0,10.7,9.79,9.8
ARTV,2024-09-17,10.03,11.27,9.8,10.95
ARTV,2024-09-18,11.08,12.29,11.08,11.89
ARTV,2024-09-19,12.05,12.12,11.21,11.75
ARTV,2024-09-20,11.58,12.6,11.25,12.46
ARTV,2024-09-23,12.49,12.77,12.29,12.55
ARTV,2024-09-24,12.66,12.84,12.08,12.82
ARTV,2024-09-25,12.48,15.328,12.48,15.11
ARTV,2024-09-26,15.35,15.4757,13.2578,13.33
ARTV,2024-09-27,13.41,14.21,13.295,14.01
ARTV,2024-09-30,14.39,15.57,14.3562,15.43
ARTV,2024-10-01,15.42,17.31,15.24,15.35
ARTV,2024-10-02,15.32,16.66,15.24,15.72
ARTV,2024-10-03,15.68,16.56,15.17,15.44
ARTV,2024-10-04,15.68,16.295,15.205,15.83
ARTV,2024-10-07,15.84,15.8462,14.3,14.54
ARTV,2024-10-08,14.31,14.88,14.31,14.77
ARTV,2024-10-09,14.55,15.16,14.4386,14.82
ARTV,2024-10-10,14.61,14.985,13.72,14.27
ARTV,2024-10-11,14.18,16.87,13.765,15.1
ARTV,2024-10-14,14.22,14.22,14.22,14.22
ARTV,2024-10-15,14.15,14.15,12.125,12.46
ARTV,2024-10-16,13.155,13.95,11.93,13.6
ARTV,2024-10-17,13.69,14.0383,12.285,12.78
ARTV,2024-10-18,13.11,13.58,11.49,12.17
ARTV,2024-10-21,12.38,12.65,10.33,10.48
ARTV,2024-10-22,10.29,11.74,10.15,11.3
ARTV,2024-10-23,11.3,11.3,10.49,10.95
ARTV,2024-10-24,11.05,11.25,10.0,10.16
ARTV,2024-10-25,10.2,11.03,10.055,10.46
ARTV,2024-10-28,10.69,11.015,9.985,10.55
ARTV,2024-10-29,10.33,10.95,10.33,10.87
ARTV,2024-10-30,10.93,11.13,10.15,10.15
ARTV,2024-10-31,10.0,10.49,9.68,9.99
ARTV,2024-11-01,10.38,10.73,10.01,10.72
ARTV,2024-11-04,10.77,11.3,10.5,11.22
ARTV,2024-11-05,11.22,11.97,10.71,11.9
ARTV,2024-11-06,12.04,14.97,12.04,14.65
ARTV,2024-11-07,13.9426,15.49,13.87,13.96
ARTV,2024-11-08,13.99,14.22,12.28,13.0
ARTV,2024-11-11,13.0,13.76,12.26,13.33
ARTV,2024-11-12,13.14,13.14,12.41,12.89
ARTV,2024-11-13,13.26,13.39,11.7,11.7
ARTV,2024-11-14,11.43,12.17,10.5,10.51
ARTV,2024-11-15,10.93,10.93,10.01,10.06
ARTV,2024-11-18,10.06,10.705,10.0,10.31
ARTV,2024-11-19,10.39,11.4,10.39,11.3
ARTV,2024-11-20,11.37,11.37,10.9,10.96
ARTV,2024-11-21,11.2504,11.52,10.74,10.875
ARTV,2024-11-22,10.825,11.98,10.79,11.2
ARTV,2024-11-25,11.51,12.54,11.29,11.81
ARTV,2024-11-26,12.07,12.53,12.07,12.21
ARTV,2024-11-27,12.54,12.92,12.54,12.6
ARTV,2024-11-29,12.79,13.19,12.58,12.78
ARTV,2024-12-02,12.87,13.0,12.6,12.75
ARTV,2024-12-03,12.75,12.87,12.08,12.61
ARTV,2024-12-04,12.65,13.11,12.2,12.72
ARTV,2024-12-05,12.63,12.867,11.26,11.6
ARTV,2024-12-06,11.5,12.09,11.5,11.8
ARTV,2024-12-09,11.77,11.95,11.34,11.77
