ticker,date,open,high,low,close
PEV,2022-06-08,6.5,6.5,4.01,4.06
PEV,2022-06-09,3.9,3.95,3.35,3.36
PEV,2022-06-10,3.12,3.42,3.1,3.22
PEV,2022-06-13,3.1,3.19,2.9,3.11
PEV,2022-06-14,3.11,3.21,3.0,3.03
PEV,2022-06-15,3.29,3.29,3.03,3.07
PEV,2022-06-16,3.07,3.1698,3.05,3.16
PEV,2022-06-17,3.15,3.35,3.1101,3.35
PEV,2022-06-21,3.34,3.44,3.2756,3.42
PEV,2022-06-22,3.51,8.4,3.45,5.83
PEV,2022-06-23,7.55,8.5,6.29,6.64
PEV,2022-06-24,5.72,6.4393,5.51,6.14
PEV,2022-06-27,6.07,7.04,5.8423,6.69
PEV,2022-06-28,6.22,6.3,4.91,5.0
PEV,2022-06-29,5.09,5.09,4.55,4.66
PEV,2022-06-30,4.51,5.22,4.4,4.74
PEV,2022-07-01,4.78,5.06,4.55,4.65
PEV,2022-07-05,4.55,4.67,3.4787,3.61
PEV,2022-07-06,3.65,3.97,3.65,3.7
PEV,2022-07-07,3.66,3.7701,3.26,3.29
PEV,2022-07-08,3.33,3.67,3.28,3.52
PEV,2022-07-11,3.6,3.6,3.105,3.12
PEV,2022-07-12,3.11,3.2789,3.08,3.1
PEV,2022-07-13,3.09,3.15,3.0,3.03
PEV,2022-07-14,3.04,3.16,3.01,3.03
PEV,2022-07-15,3.04,3.0899,2.7,2.77
PEV,2022-07-18,2.79,2.9471,2.77,2.89
PEV,2022-07-19,2.93,3.14,2.86,3.14
PEV,2022-07-20,3.12,3.13,2.86,2.87
PEV,2022-07-21,2.89,3.1981,2.82,2.87
PEV,2022-07-22,2.88,2.9662,2.72,2.78
PEV,2022-07-25,2.78,2.8583,2.68,2.75
PEV,2022-07-26,2.72,2.75,2.62,2.65
PEV,2022-07-27,2.64,2.72,2.54,2.7
PEV,2022-07-28,2.7,3.19,2.64,2.88
PEV,2022-07-29,2.86,2.9,2.7,2.78
PEV,2022-08-01,2.71,2.93,2.7,2.74
PEV,2022-08-02,2.7,2.9,2.68,2.8423
PEV,2022-08-03,2.85,3.65,2.75,3.24
PEV,2022-08-04,3.19,3.5533,3.11,3.43
PEV,2022-08-05,3.46,3.73,3.3,3.61
PEV,2022-08-08,3.78,3.89,3.62,3.81
PEV,2022-08-09,3.71,3.85,3.56,3.74
