ticker,date,open,high,low,close
PC,2024-09-26,3.78,4.3999,3.78,3.87
PC,2024-09-27,4.0697,4.4,4.0273,4.15
PC,2024-09-30,4.3,5.34,4.3,4.7498
PC,2024-10-01,4.75,5.11,4.6,4.82
PC,2024-10-02,4.9,4.9,4.5,4.53
PC,2024-10-03,4.6,4.89,4.22,4.39
PC,2024-10-04,4.55,4.7,4.52,4.65
PC,2024-10-07,4.6,4.9,4.6,4.65
PC,2024-10-08,4.67,4.7,4.57,4.7
PC,2024-10-09,4.75,4.9,4.67,4.67
PC,2024-10-10,4.73,4.8,4.3,4.75
PC,2024-10-11,4.63,4.63,4.24,4.28
PC,2024-10-14,4.325,4.45,3.212,3.86
PC,2024-10-15,3.66,4.02,3.56,3.59
PC,2024-10-16,3.8,3.8,3.04,3.54
PC,2024-10-17,3.49,3.6,3.0,3.04
PC,2024-10-18,3.3,3.45,3.06,3.19
PC,2024-10-21,3.3,4.36,3.3,4.14
PC,2024-10-22,4.3,4.3,3.9,4.0887
PC,2024-10-23,4.18,5.5,1.2,1.39
PC,2024-10-24,1.27,1.27,0.79,0.8277
PC,2024-10-25,0.81,0.828,0.62,0.6829
PC,2024-10-28,0.68,0.72,0.68,0.695
PC,2024-10-29,0.704,0.7104,0.6707,0.691
PC,2024-10-30,0.6703,0.93,0.67,0.765
PC,2024-10-31,0.739,0.798,0.657,0.67
PC,2024-11-01,0.7061,0.7275,0.66,0.6864
PC,2024-11-04,0.69,0.7445,0.67,0.74
PC,2024-11-05,0.7175,0.78,0.68,0.7255
PC,2024-11-06,0.7076,0.7255,0.63,0.667101
PC,2024-11-07,0.69,0.709775,0.635,0.684
PC,2024-11-08,0.649,0.69,0.635,0.6806
PC,2024-11-11,0.674,0.8625,0.674,0.845
PC,2024-11-12,0.8192,0.879,0.7858,0.8315
PC,2024-11-13,0.8025,0.81,0.701001,0.8
PC,2024-11-14,0.819,0.819,0.7218,0.7258
PC,2024-11-15,0.744,0.75,0.71,0.7277
PC,2024-11-18,0.749,0.749,0.6551,0.6625
PC,2024-11-19,0.6625,0.72,0.632,0.696
PC,2024-11-20,0.696,0.795999,0.6698,0.75
PC,2024-11-21,0.74,0.7534,0.7125,0.7125
PC,2024-11-22,0.708,0.78,0.7,0.7091
PC,2024-11-25,0.7516,0.849,0.7516,0.8202
PC,2024-11-26,0.82,0.85,0.82,0.82
PC,2024-11-27,0.7603,0.81,0.76,0.81
PC,2024-11-29,0.808,0.808,0.77,0.808
PC,2024-12-02,0.808,0.8996,0.808,0.86
PC,2024-12-03,0.8342,0.88,0.8185,0.841
PC,2024-12-04,0.869,0.869,0.82,0.826
PC,2024-12-05,0.8853,0.8853,0.8022,0.8305
PC,2024-12-06,0.83,0.92,0.83,0.8876
PC,2024-12-09,0.871,0.9999,0.871,0.9801
