ticker,date,open,high,low,close
DSY,2024-06-07,1.85,2.25,1.71,1.9091
DSY,2024-06-10,3.94,5.1399,3.4,3.5301
DSY,2024-06-11,2.73,2.9,2.12,2.78
DSY,2024-06-12,3.14,3.7,2.83,3.05
DSY,2024-06-13,2.95,3.1,2.5,2.6945
DSY,2024-06-14,2.5,2.99,2.42,2.565
DSY,2024-06-17,2.42,2.61,1.85,1.91
DSY,2024-06-18,1.88,2.2195,1.83,1.88
DSY,2024-06-20,1.88,2.0153,1.66,1.82
DSY,2024-06-21,1.6926,1.9145,1.6926,1.8
DSY,2024-06-24,1.8,1.86,1.7,1.7425
DSY,2024-06-25,1.7698,1.7698,1.53,1.5505
DSY,2024-06-26,1.64,1.9,1.56,1.71
DSY,2024-06-27,1.7778,1.78,1.64,1.73
DSY,2024-06-28,1.68,1.75,1.61,1.6899
DSY,2024-07-01,1.7,1.7,1.56,1.6124
DSY,2024-07-02,1.637,1.637,1.53,1.57
DSY,2024-07-03,1.63,1.83,1.57,1.81
DSY,2024-07-05,1.83,1.8799,1.7,1.8
DSY,2024-07-08,1.78,1.7899,1.68,1.7
DSY,2024-07-09,1.68,1.68,1.55,1.62
DSY,2024-07-10,1.53,1.6222,1.5,1.5269
DSY,2024-07-11,1.55,1.56,1.518,1.56
DSY,2024-07-12,1.6,1.6999,1.32,1.5
DSY,2024-07-15,1.47,1.49,1.4,1.41
DSY,2024-07-16,1.41,1.44,1.34,1.38
DSY,2024-07-17,1.41,1.4499,1.35,1.4
DSY,2024-07-18,1.52,1.61,1.12,1.2112
DSY,2024-07-19,1.15,1.2599,1.102,1.2
DSY,2024-07-22,1.22,1.35,1.15,1.23
DSY,2024-07-23,1.24,1.3716,1.2,1.26
DSY,2024-07-24,1.22,1.25,1.15,1.18
DSY,2024-07-25,1.17,1.27,1.12,1.19
DSY,2024-07-26,1.2,1.32,1.2,1.2
DSY,2024-07-29,1.22,1.22,1.09,1.11
DSY,2024-07-30,1.03,1.03,1.01,1.03
DSY,2024-07-31,1.04,1.13,1.04,1.05
DSY,2024-08-01,1.04,1.04,0.964,1.03
DSY,2024-08-02,0.93,1.02,0.93,0.97
DSY,2024-08-05,0.91,1.13,0.7904,0.84972
DSY,2024-08-06,0.8401,0.888,0.84,0.888
DSY,2024-08-07,0.9141,0.9141,0.8421,0.895
DSY,2024-08-08,0.88,0.893,0.753,0.8
DSY,2024-08-09,0.8001,1.54,0.8,1.47
DSY,2024-08-12,1.34,1.389,1.03,1.36
DSY,2024-08-13,1.37,1.48,1.2023,1.2023
DSY,2024-08-14,1.19,1.47,1.11,1.4
DSY,2024-08-15,1.37,2.43,1.3,2.1104
DSY,2024-08-16,2.05,2.27,1.87,1.87
DSY,2024-08-19,1.83,2.85,1.83,2.68
DSY,2024-08-20,2.54,2.89,2.45,2.87
DSY,2024-08-21,2.87,2.87,2.62,2.66
DSY,2024-08-22,2.66,2.67,2.42,2.48
DSY,2024-08-23,2.54,2.95,2.4101,2.93
DSY,2024-08-26,2.94,3.99,2.7772,3.9
DSY,2024-08-27,3.9,4.3,3.78,4.3
DSY,2024-08-28,4.34,4.7,4.19,4.46
DSY,2024-08-29,4.15,5.0,3.97,4.93
DSY,2024-08-30,4.96,5.31,4.8,5.305
DSY,2024-09-03,5.37,6.4,5.1625,5.92
DSY,2024-09-04,5.4,6.98,5.26,6.15
DSY,2024-09-05,5.5,5.9916,3.03,4.11
DSY,2024-09-06,3.71,4.8199,3.71,4.13
DSY,2024-09-09,4.06,4.89,4.06,4.67
DSY,2024-09-10,4.54,5.45,4.37,5.16
DSY,2024-09-11,4.93,5.7,4.64,4.91
DSY,2024-09-12,5.05,5.62,4.91,5.15
DSY,2024-09-13,5.09,5.3811,4.79,4.81
DSY,2024-09-16,5.05,5.42,4.82,5.0872
DSY,2024-09-17,4.92,5.09,4.92,4.99
DSY,2024-09-18,4.805,4.93,4.48,4.7299
DSY,2024-09-19,4.45,4.55,4.04,4.2
DSY,2024-09-20,4.05,4.85,4.05,4.11
DSY,2024-09-23,4.31,4.405,3.79,3.99
DSY,2024-09-24,4.2,4.4,3.22,3.865
DSY,2024-09-25,3.89,4.15,3.35,3.455
DSY,2024-09-26,3.58,4.3585,2.18,3.4
DSY,2024-09-27,3.13,3.35,2.11,2.7
DSY,2024-09-30,2.52,5.38,2.5001,4.8
DSY,2024-10-01,4.21,5.5,3.75,3.75
DSY,2024-10-02,3.5,4.99,2.46,3.48
DSY,2024-10-03,3.61,4.035,2.66,3.9
DSY,2024-10-04,3.52,4.6,3.0901,3.85
DSY,2024-10-07,3.85,4.7196,3.75,4.08
DSY,2024-10-08,4.0,4.01,3.42,3.75
DSY,2024-10-09,3.66,4.37,3.658,4.24
DSY,2024-10-10,4.3,5.2651,4.3,4.52
DSY,2024-10-11,4.32,4.6999,3.62,3.66
DSY,2024-10-14,3.74,5.176,3.69,5.07
DSY,2024-10-15,4.74,5.99,4.48,5.44
DSY,2024-10-16,5.9,6.815,5.31,5.47
DSY,2024-10-17,5.94,6.23,4.98,5.58
DSY,2024-10-18,5.42,5.45,5.06,5.11
DSY,2024-10-21,5.16,5.39,4.855,5.34
DSY,2024-10-22,5.36,5.36,4.51,4.72
DSY,2024-10-23,4.72,5.0,3.76,4.13
DSY,2024-10-24,4.04,4.505,3.46,3.79
DSY,2024-10-25,3.79,4.1499,3.75,3.97
DSY,2024-10-28,3.91,4.558,3.91,4.2
DSY,2024-10-29,4.04,4.4,3.52,3.62
DSY,2024-10-30,3.75,4.0,3.4,3.4
DSY,2024-10-31,3.41,3.594,3.3,3.32
DSY,2024-11-01,3.28,3.6298,3.28,3.56
DSY,2024-11-04,3.49,3.7,3.3,3.41
