ticker,date,open,high,low,close
JCTC,2024-10-10,4.89,4.89,4.89,4.89
JCTC,2024-10-11,4.89,4.9842,4.89,4.89
JCTC,2024-10-14,4.89,4.8919,4.551,4.551
JCTC,2024-10-15,4.5,4.7726,4.4578,4.65
JCTC,2024-10-16,4.8,4.8,4.4448,4.74
JCTC,2024-10-17,4.6,4.6601,4.3642,4.54
JCTC,2024-10-18,4.37,4.7,4.3036,4.32
JCTC,2024-10-21,4.5,4.59,4.32,4.42
JCTC,2024-10-22,4.35,4.35,4.35,4.35
JCTC,2024-10-23,4.345,4.345,4.345,4.345
JCTC,2024-10-24,4.3,4.5693,4.28,4.3513
JCTC,2024-10-25,4.28,4.5214,3.98,4.33
JCTC,2024-10-28,4.31,4.35,4.3,4.35
JCTC,2024-10-29,4.3436,4.3436,4.18,4.18
JCTC,2024-10-30,4.3,4.3,4.3,4.3
JCTC,2024-10-31,4.2,4.3,4.2,4.3
JCTC,2024-11-01,4.3701,4.4,3.9701,4.26
JCTC,2024-11-04,4.26,4.3742,4.21,4.25
JCTC,2024-11-05,4.2043,4.24,4.165,4.2
JCTC,2024-11-06,4.2426,4.2426,4.19,4.19
JCTC,2024-11-07,4.19,4.19,4.05,4.0519
JCTC,2024-11-08,4.11,4.38,4.0606,4.13
JCTC,2024-11-11,4.29,4.3511,4.1177,4.1301
JCTC,2024-11-12,4.1863,4.1863,4.1,4.12
JCTC,2024-11-13,4.17,4.17,4.17,4.17
JCTC,2024-11-14,4.17,4.3005,4.17,4.2
JCTC,2024-11-15,4.11,4.131,4.07,4.131
JCTC,2024-11-18,4.18,4.18,4.15,4.17
JCTC,2024-11-19,4.1544,4.2882,4.035,4.22
JCTC,2024-11-20,4.2601,4.3,4.05,4.12
JCTC,2024-11-21,4.07,4.41,4.07,4.41
JCTC,2024-11-22,4.37,4.38,4.28,4.36
JCTC,2024-11-25,4.38,4.49,4.35,4.35
JCTC,2024-11-26,4.25,4.33,4.25,4.33
JCTC,2024-11-27,4.3,4.48,4.3,4.48
JCTC,2024-11-29,4.28,4.28,4.28,4.28
JCTC,2024-12-02,4.3995,4.5,4.2622,4.5
JCTC,2024-12-03,4.65,4.9,4.5,4.5437
JCTC,2024-12-04,5.0,5.0,4.5,4.92
JCTC,2024-12-05,4.75,4.94,4.75,4.8
JCTC,2024-12-06,4.93,4.9599,4.75,4.8201
JCTC,2024-12-09,4.9937,4.9937,4.8,4.89
