ticker,date,open,high,low,close
NIXX,2024-10-02,2.5,2.62,2.05,2.24
NIXX,2024-10-03,2.28,2.44,2.16,2.2001
NIXX,2024-10-04,2.15,2.49,2.15,2.41
NIXX,2024-10-07,2.35,2.75,2.2359,2.56
NIXX,2024-10-08,2.63,2.63,2.33,2.54
NIXX,2024-10-09,2.53,2.7,2.53,2.6
NIXX,2024-10-10,2.61,2.61,2.45,2.6
NIXX,2024-10-11,2.75,2.75,2.4319,2.51
NIXX,2024-10-14,2.46,2.65,2.1973,2.21
NIXX,2024-10-15,2.27,2.64,2.241,2.64
NIXX,2024-10-16,2.6,2.8,2.19,2.37
NIXX,2024-10-17,7.56,8.5,2.61,2.7
NIXX,2024-10-18,2.5,2.81,2.24,2.81
NIXX,2024-10-21,3.0,3.68,2.71,3.11
NIXX,2024-10-22,3.1101,3.6,3.0,3.06
NIXX,2024-10-23,3.2141,3.28,2.86,3.0
NIXX,2024-10-24,2.9,3.14,2.78,2.96
NIXX,2024-10-25,2.95,2.9899,2.61,2.7
NIXX,2024-10-28,2.71,3.11,2.61,2.65
NIXX,2024-10-29,2.63,2.8,2.61,2.7
NIXX,2024-10-30,2.75,2.8222,2.69,2.72
NIXX,2024-10-31,2.75,3.0185,2.68,2.9
NIXX,2024-11-01,2.88,2.98,2.775,2.91
NIXX,2024-11-04,2.9,3.0299,2.84,3.0
NIXX,2024-11-05,3.03,3.15,2.93,2.95
NIXX,2024-11-06,2.95,3.08,2.7201,2.75
NIXX,2024-11-07,2.77,2.96,2.77,2.85
NIXX,2024-11-08,2.83,2.9,2.68,2.85
NIXX,2024-11-11,2.86,2.88,2.55,2.72
NIXX,2024-11-12,2.71,2.91,2.62,2.625
NIXX,2024-11-13,2.525,2.67,2.5,2.5799
NIXX,2024-11-14,2.5,2.85,2.5,2.79
NIXX,2024-11-15,2.7,3.05,2.56,2.59
NIXX,2024-11-18,2.61,2.79,2.57,2.6
NIXX,2024-11-19,2.56,2.73,2.53,2.53
NIXX,2024-11-20,2.55,2.705,2.5318,2.63
NIXX,2024-11-21,2.57,2.99,2.45,2.91
NIXX,2024-11-22,2.78,2.91,2.67,2.7
NIXX,2024-11-25,2.78,2.9,2.59,2.61
NIXX,2024-11-26,2.68,2.68,2.5,2.5
NIXX,2024-11-27,2.52,2.65,2.44,2.48
NIXX,2024-11-29,2.53,2.61,2.4,2.54
NIXX,2024-12-02,2.54,2.71,2.54,2.62
NIXX,2024-12-03,2.69,2.92,2.6,2.85
NIXX,2024-12-04,2.87,3.58,2.82,3.42
NIXX,2024-12-05,3.38,4.39,3.06,4.18
NIXX,2024-12-06,4.34,4.6,4.05,4.41
NIXX,2024-12-09,4.57,4.8,4.13,4.71
